RTPLAN:  pb field pb_type      E pb_nprim  FWHM  x0 y0 z0 f_x f_y f_z u_x u_y u_z l_x l_y l_z
#     pb    field    pb_type      E         pb_nprim     FWHM  x0      y0    z0   f_x  f_y  f_z  u_x  u_y  u_z  l_x  l_y l_z
pb: 1 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0220782 0.999512 -0.0220782 0.000487567 0.0220728 0.999756 -0.999756 0.0220836 -5.42101e-20
pb: 2 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0220823 0.999695 -0.0110411 0.000243828 0.0110384 0.999939 -0.999756 0.0220836 2.71051e-20
pb: 3 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0220836 0.999756 0 0 0 1 -0.999756 0.0220836 0
pb: 4 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0220823 0.999695 0.0110411 -0.000243828 -0.0110384 0.999939 -0.999756 0.0220836 -2.71051e-20
pb: 5 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0110411 0.999695 -0.0220823 0.000243873 0.0220809 0.999756 -0.999939 0.0110438 0
pb: 6 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0110432 0.999878 -0.0110432 0.000121959 0.0110425 0.999939 -0.999939 0.0110438 0
pb: 7 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0110438 0.999939 0 0 0 1 -0.999939 0.0110438 0
pb: 8 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0110432 0.999878 0.0110432 -0.000121959 -0.0110425 0.999939 -0.999939 0.0110438 0
pb: 9 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0.0110411 0.999695 0.0220823 -0.000243873 -0.0220809 0.999756 -0.999939 0.0110438 0
pb: 10 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0 0.999756 -0.0220836 0 0.0220836 0.999756 -1 0 0
pb: 11 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0 0.999939 -0.0110438 0 0.0110438 0.999939 -1 0 0
pb: 12 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0 1 0 0 0 1 -1 0 0
pb: 13 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0 0.999939 0.0110438 0 -0.0110438 0.999939 -1 0 0
pb: 14 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 0 0.999756 0.0220836 0 -0.0220836 0.999756 -1 0 0
pb: 15 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0110411 0.999695 -0.0220823 -0.000243873 0.0220809 0.999756 -0.999939 -0.0110438 0
pb: 16 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0110432 0.999878 -0.0110432 -0.000121959 0.0110425 0.999939 -0.999939 -0.0110438 0
pb: 17 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0110438 0.999939 0 0 0 1 -0.999939 -0.0110438 0
pb: 18 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0110432 0.999878 0.0110432 0.000121959 -0.0110425 0.999939 -0.999939 -0.0110438 0
pb: 19 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0110411 0.999695 0.0220823 0.000243873 -0.0220809 0.999756 -0.999939 -0.0110438 0
pb: 20 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0220836 0.999756 0 0 0 1 -0.999756 -0.0220836 0
pb: 21 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0220823 0.999695 0.0110411 0.000243828 -0.0110384 0.999939 -0.999756 -0.0220836 2.71051e-20
pb: 22 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0220782 0.999512 0.0220782 0.000487567 -0.0220728 0.999756 -0.999756 -0.0220836 -5.42101e-20
pb: 23 3 electron 100 100000 1.2 -3.13254 -89.7114 -136.014 -0.0331073 0.999208 0.0220715 0.000730905 -0.0220594 0.999756 -0.999452 -0.0331153 0
pb: 24 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0463315 0.998807 -0.0154438 0.000715623 0.0154273 0.999881 -0.998926 0.0463371 0
pb: 25 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386085 0.998777 -0.0308868 0.00119306 0.0308637 0.999523 -0.999254 0.0386269 -2.1684e-19
pb: 26 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386165 0.998985 -0.0231699 0.000894982 0.0231526 0.999732 -0.999254 0.0386269 -1.0842e-19
pb: 27 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386223 0.999134 -0.0154489 0.000596744 0.0154374 0.999881 -0.999254 0.0386269 0
pb: 28 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386258 0.999224 -0.00772515 0.000298399 0.00771938 0.99997 -0.999254 0.0386269 0
pb: 29 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386269 0.999254 0 0 0 1 -0.999254 0.0386269 0
pb: 30 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386258 0.999224 0.00772515 -0.000298399 -0.00771938 0.99997 -0.999254 0.0386269 0
pb: 31 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0386223 0.999134 0.0154489 -0.000596744 -0.0154374 0.999881 -0.999254 0.0386269 0
pb: 32 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0308951 0.999045 -0.0308951 0.000954961 0.0308803 0.999523 -0.999522 0.0309098 1.0842e-19
pb: 33 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309015 0.999254 -0.0231761 0.00071637 0.0231651 0.999731 -0.999522 0.0309098 0
pb: 34 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309061 0.999403 -0.0154531 0.000477652 0.0154457 0.999881 -0.999522 0.0309098 -1.0842e-19
pb: 35 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309089 0.999492 -0.00772723 0.000238847 0.00772353 0.99997 -0.999522 0.0309098 -2.71051e-20
pb: 36 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309098 0.999522 0 0 0 1 -0.999522 0.0309098 0
pb: 37 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309089 0.999492 0.00772723 -0.000238847 -0.00772353 0.99997 -0.999522 0.0309098 2.71051e-20
pb: 38 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309061 0.999403 0.0154531 -0.000477652 -0.0154457 0.999881 -0.999522 0.0309098 1.0842e-19
pb: 39 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0309015 0.999254 0.0231761 -0.00071637 -0.0231651 0.999731 -0.999522 0.0309098 0
pb: 40 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0231699 0.998985 -0.0386165 0.00089541 0.0386062 0.999254 -0.999731 0.0231872 0
pb: 41 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0231761 0.999254 -0.0309015 0.00071652 0.0308932 0.999522 -0.999731 0.0231872 1.0842e-19
pb: 42 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.023181 0.999462 0.023181 -0.000537502 -0.0231748 0.999731 -0.999731 0.0231872 0
pb: 43 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0231761 0.999254 0.0309015 -0.00071652 -0.0308932 0.999522 -0.999731 0.0231872 -1.0842e-19
pb: 44 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0231699 0.998985 0.0386165 -0.00089541 -0.0386062 0.999254 -0.999731 0.0231872 0
pb: 45 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0154489 0.999134 -0.0386223 0.000597118 0.0386177 0.999254 -0.99988 0.0154605 -1.0842e-19
pb: 46 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0154531 0.999403 -0.0309061 0.000477823 0.0309024 0.999522 -0.99988 0.0154605 -5.42101e-20
pb: 47 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0154531 0.999403 0.0309061 -0.000477823 -0.0309024 0.999522 -0.99988 0.0154605 5.42101e-20
pb: 48 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.0154489 0.999134 0.0386223 -0.000597118 -0.0386177 0.999254 -0.99988 0.0154605 1.0842e-19
pb: 49 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.00772515 0.999224 -0.0386258 0.000298613 0.0386246 0.999254 -0.99997 0.00773092 -5.42101e-20
pb: 50 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.00772723 0.999492 -0.0309089 0.000238954 0.030908 0.999522 -0.99997 0.00773092 -2.71051e-20
pb: 51 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.00772723 0.999492 0.0309089 -0.000238954 -0.030908 0.999522 -0.99997 0.00773092 2.71051e-20
pb: 52 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0.00772515 0.999224 0.0386258 -0.000298613 -0.0386246 0.999254 -0.99997 0.00773092 5.42101e-20
pb: 53 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0 0.999254 -0.0386269 0 0.0386269 0.999254 -1 0 0
pb: 54 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0 0.999522 -0.0309098 0 0.0309098 0.999522 -1 0 0
pb: 55 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0 0.999522 0.0309098 0 -0.0309098 0.999522 -1 0 0
pb: 56 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 0 0.999254 0.0386269 0 -0.0386269 0.999254 -1 0 0
pb: 57 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.00772515 0.999224 -0.0386258 -0.000298613 0.0386246 0.999254 -0.99997 -0.00773092 5.42101e-20
pb: 58 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.00772723 0.999492 -0.0309089 -0.000238954 0.030908 0.999522 -0.99997 -0.00773092 2.71051e-20
pb: 59 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.00772723 0.999492 0.0309089 0.000238954 -0.030908 0.999522 -0.99997 -0.00773092 -2.71051e-20
pb: 60 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.00772515 0.999224 0.0386258 0.000298613 -0.0386246 0.999254 -0.99997 -0.00773092 -5.42101e-20
pb: 61 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0154489 0.999134 -0.0386223 -0.000597118 0.0386177 0.999254 -0.99988 -0.0154605 1.0842e-19
pb: 62 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0154531 0.999403 -0.0309061 -0.000477823 0.0309024 0.999522 -0.99988 -0.0154605 5.42101e-20
pb: 63 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0154531 0.999403 0.0309061 0.000477823 -0.0309024 0.999522 -0.99988 -0.0154605 -5.42101e-20
pb: 64 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0154489 0.999134 0.0386223 0.000597118 -0.0386177 0.999254 -0.99988 -0.0154605 -1.0842e-19
pb: 65 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0231699 0.998985 -0.0386165 -0.00089541 0.0386062 0.999254 -0.999731 -0.0231872 0
pb: 66 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0231761 0.999254 -0.0309015 -0.00071652 0.0308932 0.999522 -0.999731 -0.0231872 -1.0842e-19
pb: 67 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.023181 0.999462 -0.023181 -0.000537502 0.0231748 0.999731 -0.999731 -0.0231872 0
pb: 68 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0231844 0.999612 -0.0154563 -0.000358388 0.0154521 0.999881 -0.999731 -0.0231872 -5.42101e-20
pb: 69 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0231865 0.999701 -0.00772884 -0.00017921 0.00772676 0.99997 -0.999731 -0.0231872 0
pb: 70 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0231761 0.999254 0.0309015 0.00071652 -0.0308932 0.999522 -0.999731 -0.0231872 1.0842e-19
pb: 71 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0231699 0.998985 0.0386165 0.00089541 -0.0386062 0.999254 -0.999731 -0.0231872 0
pb: 72 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0308951 0.999045 -0.0308951 -0.000954961 0.0308803 0.999523 -0.999522 -0.0309098 -1.0842e-19
pb: 73 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0309015 0.999254 -0.0231761 -0.00071637 0.0231651 0.999731 -0.999522 -0.0309098 0
pb: 74 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0309061 0.999403 -0.0154531 -0.000477652 0.0154457 0.999881 -0.999522 -0.0309098 1.0842e-19
pb: 75 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0309089 0.999492 -0.00772723 -0.000238847 0.00772353 0.99997 -0.999522 -0.0309098 2.71051e-20
pb: 76 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0309098 0.999522 0 0 0 1 -0.999522 -0.0309098 0
pb: 77 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0309089 0.999492 0.00772723 0.000238847 -0.00772353 0.99997 -0.999522 -0.0309098 -2.71051e-20
pb: 78 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0308951 0.999045 0.0308951 0.000954961 -0.0308803 0.999523 -0.999522 -0.0309098 1.0842e-19
pb: 79 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0308868 0.998777 0.0386085 0.00119338 -0.03859 0.999254 -0.999522 -0.0309098 0
pb: 80 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0386223 0.999134 -0.0154489 -0.000596744 0.0154374 0.999881 -0.999254 -0.0386269 0
pb: 81 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0386269 0.999254 0 0 0 1 -0.999254 -0.0386269 0
pb: 82 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0386258 0.999224 0.00772515 0.000298399 -0.00771938 0.99997 -0.999254 -0.0386269 0
pb: 83 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0386223 0.999134 0.0154489 0.000596744 -0.0154374 0.999881 -0.999254 -0.0386269 0
pb: 84 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0386085 0.998777 0.0308868 0.00119306 -0.0308637 0.999523 -0.999254 -0.0386269 -2.1684e-19
pb: 85 3 electron 100 100000 0.7 -3.13254 -89.7114 -136.014 -0.0385981 0.998509 0.0385981 0.00149093 -0.0385693 0.999255 -0.999254 -0.0386269 0
